Mouse,Weight (g),,,,,
,2026/6/2,2026/6/16,,,,
1,24.8,26.6,,,,
2,24.7,25.5,,,,
3,26.2,27.2,,,,
4,26.3,27.6,,,,
5,24.6,25.4,,,,
6,25.9,26.8,,,,
7,24.7,27.5,,,,
8,25,26.2,,,,
9,24.3,25.1,,,,
10,24.7,26.9,,,,
11,25.4,27.3,,,,
12,24.2,25.1,,,,
13,26.8,28.2,,,,
14,24,26.8,,,,
15,26.5,27.3,,,,
16,23.3,24.3,,,,
17,25.7,27.6,,,,
18,23.9,26.3,,,,
